Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-08-28,2021-08-30,7816,TST* THE ROOST - SHELTER,Dining,8.25,
2021-08-28,2021-08-30,7816,DDV *MotorTrend,Phone/Cable,5.29,
2021-08-27,2021-08-28,7816,DC GOV'T PAYMENT,Other Services,10.00,
2021-08-27,2021-08-28,7816,NYTimes*NYTimes,Other Services,15.90,
2021-08-27,2021-08-27,7816,Prime Video*2D2JV2KO2,Entertainment,10.59,
2021-08-26,2021-08-27,7816,TST* HARDYWOOD- RICHMOND,Dining,36.90,
2021-08-25,2021-08-27,7816,MAIN LINE BREWERY LLC,Dining,17.14,
2021-08-25,2021-08-27,7816,MAIN LINE BREWERY LLC,Dining,22.96,
2021-08-25,2021-08-26,7816,CAPITOLWAFFLE.COM,Dining,34.33,
2021-08-24,2021-08-26,7816,SHIELDS MARKET,Merchandise,4.10,
2021-08-25,2021-08-26,7816,AMTRAK.COM,Other Travel,32.00,
2021-08-24,2021-08-26,7816,VASEN BREWING COMPANY,Dining,48.13,
2021-08-25,2021-08-26,7816,TST* BINGO - RICHMOND,Dining,28.10,
2021-08-25,2021-08-26,7816,TST* BOULEVARD BURGER,Dining,27.48,
2021-08-24,2021-08-25,7816,CVS/PHARMACY #01530,Health Care,5.00,
2021-08-24,2021-08-25,7816,SQ *THE VEIL BREWING CO.,Dining,37.72,
2021-08-24,2021-08-25,7816,VMFA TICKETS,Entertainment,24.00,
2021-08-24,2021-08-25,7816,SQ *ISLEY BREWING COMPANY,Dining,12.68,
2021-08-24,2021-08-25,7816,SQ *EARLY BIRD BISCUIT CO,Merchandise,3.26,
2021-08-24,2021-08-25,7816,TST* THE CAMEL,Dining,67.63,
2021-08-21,2021-08-23,7816,METRO 070-MT. VERN SQ-CON,Other Travel,19.00,
2021-08-22,2021-08-23,7816,SQ *BIG BEAR CAFE,Dining,18.20,
2021-08-22,2021-08-23,7816,TST* THE ROOST - SHELTER,Dining,99.23,
2021-08-21,2021-08-23,7816,SQ *CONGRESSIONAL CEMETER,Professional Services,30.00,
2021-08-21,2021-08-23,7816,TST* THE SOVEREIGN,Dining,100.12,
2021-08-20,2021-08-21,7816,PIE SHOP,Entertainment,47.32,
2021-08-20,2021-08-21,7816,SQ *LEVAIN BAKERY,Merchandise,19.80,
2021-08-20,2021-08-21,7816,HLU*Hulu 339391590912-U,Phone/Cable,6.35,
2021-08-20,2021-08-21,7816,TST* COMPASS ROSE,Dining,197.76,
2021-08-19,2021-08-20,7816,SQ *COMPASS COFFEE,Dining,13.09,
2021-08-17,2021-08-18,7816,NORDSTROM #0675,Merchandise,17.99,
2021-08-16,2021-08-18,7816,AMTRAK .COM 2280731580078,Other Travel,88.00,
2021-08-17,2021-08-18,7816,GROUPMUSE MEMBERSHIP,Entertainment,5.00,
2021-08-17,2021-08-18,7816,STITCH FIX  STYLING,Merchandise,20.00,
2021-08-17,2021-08-17,7816,CAPITAL ONE ONLINE PYMT,Payment/Credit,,4500.00
2021-08-17,2021-08-17,7816,AIRBNB  HMEB4BDQER,Lodging,496.45,
2021-08-16,2021-08-17,7816,Peacock X7604 Premium,Phone/Cable,5.29,
2021-08-16,2021-08-17,7816,GIANT 2376,Merchandise,45.70,
2021-08-16,2021-08-17,7816,Vistaprint Corporate Solu,Other Services,40.28,
2021-08-16,2021-08-17,7816,TST* LA FAMOSA,Dining,15.84,
2021-08-14,2021-08-16,7816,DULLES KABOB,Dining,42.80,
2021-08-15,2021-08-16,7816,SPOTIFY,Phone/Cable,16.95,
2021-08-14,2021-08-16,7816,HEALTHYADHD LLC,Other Services,34.99,
2021-08-15,2021-08-16,7816,Newsstand*2D78Y3G01,Entertainment,2.11,
2021-08-14,2021-08-16,7816,SQ *THE CRAFT OF BREWING,Merchandise,34.15,
2021-08-14,2021-08-16,7816,ZOOM.US 888-799-9666,Phone/Cable,15.89,
2021-08-14,2021-08-16,7816,SQ *TACO TOWN LLC,Dining,17.22,

