ENTREZID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
75062	Sf3a3	splicing factor 3a, subunit 3	0.082967732	5.227675243	0.597658557	0.564003737	0.69308352	-7.071988203
224405	Cyyr1	cysteine and tyrosine-rich protein 1	1.187891645	2.995102017	2.840716548	0.027861064	0.084996561	-3.876368949
114255	Dok4	docking protein 4	0.537183633	3.921804895	3.509349545	0.00607009	0.029427213	-2.733172044
17125	Smad1	SMAD family member 1	-0.482391786	6.924446716	-2.539083648	0.035040221	0.100083916	-4.704354794
107035	Fbxo38	F-box protein 38	0.326032451	5.101621256	2.59231397	0.02784817	0.084975187	-4.455323653
330256	Gm20559	predicted gene, 20559	-0.075465509	2.276810672	-0.260858976	0.799859907	0.87510446	-6.657880154
68291	Mto1	mitochondrial tRNA translation optimization 1	-0.160177259	2.671362688	-0.794371523	0.446316818	0.590276792	-6.454802189
74407	Ttc25	tetratricopeptide repeat domain 25	-0.636961113	-0.300978258	-1.373120701	0.201168144	0.341985844	-5.212193239
71323	Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	-0.334906633	4.115278803	-2.269175085	0.047883053	0.124518209	-4.835164448
71916	Dus4l	dihydrouridine synthase 4-like (S. cerevisiae)	-0.046258486	1.208390131	-0.139663033	0.891834707	0.934299943	-6.43611643
12323	Camk2b	calcium/calmodulin-dependent protein kinase II, beta	1.005285266	-0.429283741	2.433348962	0.036373723	0.102635786	-3.701451191
102334	Ankrd10	ankyrin repeat domain 10	-0.258298035	6.509769843	-2.154493462	0.057958763	0.142554497	-5.273986295
18973	Pole	polymerase (DNA directed), epsilon	0.259854549	4.249688358	1.685422679	0.12432222	0.244694205	-5.749941007
14172	Fgf18	fibroblast growth factor 18	0.57318654	-0.54027955	1.289316121	0.227712712	0.372424104	-5.266561039
381410	Zfp408	zinc finger protein 408	0.085276453	4.644281761	0.633781189	0.541140988	0.67359102	-6.964468933
328417	Parp4	poly (ADP-ribose) polymerase family, member 4	0.660093666	4.907248839	4.60450263	0.001105085	0.009294692	-1.112687391
100504007	Gm15787	predicted gene 15787	-0.08412668	1.519436199	-0.280092649	0.785394039	0.864684384	-6.476658166
56716	Mlst8	MTOR associated protein, LST8 homolog (S. cerevisiae)	-0.689852034	2.828677714	-3.24361968	0.009380609	0.039356621	-2.970581603
67062	Slc25a53	solute carrier family 25, member 53	0.312067828	0.47561689	0.875171795	0.40300674	0.55054607	-5.885234619
22065	Trpc3	transient receptor potential cation channel, subfamily C, member 3	0.848973728	0.05815404	2.265303945	0.048193545	0.124989148	-4.031070701
67299	Dock7	dedicator of cytokinesis 7	0.340610089	7.513917964	2.763059346	0.020901768	0.069055459	-4.241895473
12050	Bcl2l2	BCL2-like 2	-0.451473504	6.177276515	-3.398221648	0.007275799	0.033116242	-3.191672267
22784	Slc30a3	solute carrier family 30 (zinc transporter), member 3	0.238099533	-1.283050281	0.352480318	0.732531107	0.827389693	-5.864594653
56412	Noa1	nitric oxide associated 1	-0.04797374	3.992176654	-0.258444674	0.801592757	0.876143087	-7.031911964
280408	Rilp	Rab interacting lysosomal protein	-1.038044789	1.538423003	-3.191866007	0.010250685	0.041864215	-2.805183764
213006	Mfsd4a	major facilitator superfamily domain containing 4A	-0.211425544	3.790537258	-1.312156104	0.220203644	0.364180039	-6.163575467
232854	Zfp418	zinc finger protein 418	1.095990779	0.591952435	3.004825661	0.013943795	0.051962509	-2.946807455
76133	6230400D17Rik	RIKEN cDNA 6230400D17 gene	0.09453253	-0.291169004	0.204546132	0.842230532	0.903046821	-6.095239702
74102	Slc35a5	solute carrier family 35, member A5	0.271523133	3.028644232	1.461035018	0.176190136	0.312171892	-5.817352278
319554	Idi1	isopentenyl-diphosphate delta isomerase	0.097562685	3.788519913	0.478822877	0.643053799	0.759578233	-6.905662931
319916	A730011C13Rik	RIKEN cDNA A730011C13 gene	-0.467035463	0.417746541	-1.346338218	0.209352568	0.351633378	-5.383709362
67552	Macroh2a3	macroH2A.3 histone	-0.468205316	-0.555951792	-1.057034236	0.316563962	0.467796423	-5.512870303
23894	Gtf2h2	general transcription factor II H, polypeptide 2	-0.047592788	3.16537561	-0.251176915	0.807011972	0.880593014	-6.867656505
20683	Sp1	trans-acting transcription factor 1	0.275763238	7.047190903	2.186469001	0.054959674	0.137332579	-5.212185558
12035	Bcat1	branched chain aminotransferase 1, cytosolic	1.853759263	2.816191772	6.332955835	0.000142268	0.002539874	1.397295047
72960	Top1mt	DNA topoisomerase 1, mitochondrial	-0.553199408	3.810676449	-3.487410707	0.00629049	0.030129113	-2.752757155
320159	Togaram2	TOG array regulator of axonemal microtubules 2	1.53423027	2.493741041	6.912573449	5.26e-05	0.001386645	2.363512676
15077	H3c14	H3 clustered histone 14	-0.077152732	0.723357129	-0.237798562	0.817073529	0.886745037	-6.304516977
18752	Prkcg	protein kinase C, gamma	-0.41720523	4.577010759	-1.56366435	0.163285457	0.295659139	-5.979024873
64008	Aqp9	aquaporin 9	2.462578943	1.677978419	7.075799866	4.5e-05	0.001263278	2.539654149
224742	Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	0.189991488	7.240154935	1.617429272	0.138373182	0.262764962	-6.063481847
227644	Snapc4	small nuclear RNA activating complex, polypeptide 4	0.588336243	4.609883981	3.152918916	0.0114642	0.045364935	-3.470060496
76123	Gpsm2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	0.340314706	6.032015977	1.960854872	0.083452358	0.184394961	-5.5737976
17184	Matr3	matrin 3	-0.095655007	8.187747688	-0.775447529	0.45689312	0.599321858	-6.962890682
56538	Klk11	kallikrein related-peptidase 11	0.699466497	-0.503539182	1.485873621	0.169637426	0.303844251	-5.036874697
21750	Terf2	telomeric repeat binding factor 2	0.575438038	3.954107629	3.771381607	0.003981334	0.021898852	-2.304935951
20847	Stat2	signal transducer and activator of transcription 2	0.067510853	6.920736461	0.546091668	0.597558199	0.720875751	-7.185121734
72949	Ccnt2	cyclin T2	0.034449705	5.201423903	0.264605819	0.796949654	0.873178042	-7.223079134
78801	Ak7	adenylate kinase 7	-2.187489481	-0.684006576	-4.139844683	0.002232319	0.014853938	-1.123951615
209707	Lcorl	ligand dependent nuclear receptor corepressor-like	0.044404108	3.231009571	0.246053847	0.810860638	0.882930393	-6.883291331
76952	Nt5c2	5'-nucleotidase, cytosolic II	0.243460075	5.125095567	1.812381984	0.101504803	0.211677333	-5.699999482
100217453	Snord16a	small nucleolar RNA, C/D box 16A	-0.366082282	0.250976936	-1.003004955	0.340654448	0.49240107	-5.722230748
76642	1700113A16Rik	RIKEN cDNA 1700113A16 gene	-0.324237412	3.436318382	-1.91110294	0.086507229	0.188946555	-5.269334334
70646	Naa30	N(alpha)-acetyltransferase 30, NatC catalytic subunit	0.075198676	6.180236594	0.627232182	0.545245758	0.677590152	-7.13388414
193043	Zfp3	zinc finger protein 3	-0.141089705	-0.883613792	-0.306319457	0.765951122	0.851627189	-5.953873417
107449	Unc5b	unc-5 netrin receptor B	-0.17202139	6.070762244	-1.346117894	0.209421044	0.351666542	-6.429137352
66904	Pccb	propionyl Coenzyme A carboxylase, beta polypeptide	-0.265050006	5.294334065	-2.050326198	0.068860111	0.160974729	-5.360210365
26912	Gcat	glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase)	0.239181235	3.879438759	1.20782365	0.256589225	0.405976243	-6.302055065
212281	Zfp729a	zinc finger protein 729a	0.564761927	1.512489914	1.970564893	0.078502669	0.176401841	-4.757807315
66589	Ube2v1	ubiquitin-conjugating enzyme E2 variant 1	-0.166858365	4.948528354	-1.293137516	0.226441751	0.371365098	-6.380375408
225579	Slc27a6	solute carrier family 27 (fatty acid transporter), member 6	0.969903831	2.492914987	3.594953832	0.005388204	0.02721062	-2.329844573
54125	Polm	polymerase (DNA directed), mu	0.338795449	3.50075723	1.748524531	0.112452166	0.228176874	-5.520182148
52715	Ccdc43	coiled-coil domain containing 43	0.06272314	3.952327187	0.408359288	0.692037122	0.797433894	-6.970232515
74895	Ccdc181	coiled-coil domain containing 181	1.668000381	1.579868308	5.524516555	0.000300918	0.003999219	0.699241309
75786	Ckap5	cytoskeleton associated protein 5	-0.079877907	6.387022475	-0.648215476	0.532157675	0.666143254	-7.125646573
101502	Hsd3b7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	0.515145439	4.400496688	2.79670952	0.020087704	0.067065887	-4.017214141
20103	Rps5	ribosomal protein S5	0.329395415	6.936022394	2.595596568	0.027694914	0.08464567	-4.545222839
68185	Coa4	cytochrome c oxidase assembly factor 4	-0.361075205	-0.044139845	-0.9227823	0.378899824	0.529088735	-5.736874652
225288	Fhod3	formin homology 2 domain containing 3	-0.395987882	8.429411333	-2.445560028	0.03609882	0.102219791	-4.724549901
74243	Slx4ip	SLX4 interacting protein	0.477659382	1.488564518	1.52246022	0.160372707	0.292033723	-5.38859306
242050	Igsf10	immunoglobulin superfamily, member 10	0.421147414	6.299548526	2.004930769	0.084181811	0.185467268	-5.538245755
12846	Comt	catechol-O-methyltransferase	-0.44412853	6.378388959	-2.894279978	0.017381591	0.060684205	-4.067571026
219135	Mtmr6	myotubularin related protein 6	-0.224213952	5.582759549	-1.551885778	0.153314808	0.282827817	-6.125711487
52837	Tmx4	thioredoxin-related transmembrane protein 4	0.41786761	5.184770711	3.136560692	0.011199078	0.044589321	-3.549398895
18798	Plcb4	phospholipase C, beta 4	0.447398047	3.798790115	2.390100876	0.039110644	0.10828389	-4.580062074
14605	Tsc22d3	TSC22 domain family, member 3	-0.791169346	5.66193925	-5.804485321	0.000207425	0.003144718	0.571157939
72962	Tymp	thymidine phosphorylase	-0.268261844	0.085790284	-0.713528608	0.492628503	0.631560417	-5.932152494
237758	Zfp454	zinc finger protein 454	0.966560574	-0.39732776	2.158180379	0.05760506	0.141976406	-4.120825486
216001	Micu1	mitochondrial calcium uptake 1	-0.059000198	4.773551669	-0.412478456	0.689117618	0.794856116	-7.108306589
227695	Spout1	SPOUT domain containing methyltransferase 1	0.568731808	3.358330826	2.80138582	0.019599507	0.065954693	-3.813514774
320163	4930525G20Rik	RIKEN cDNA 4930525G20 gene	-0.859493967	-0.991680507	-1.607052147	0.140638723	0.265960852	-4.804228377
66109	Tspan13	tetraspanin 13	1.985105613	3.140037122	8.977782765	5.92e-06	0.000381323	4.510528548
17120	Mad1l1	MAD1 mitotic arrest deficient 1-like 1	-0.038459028	4.727394664	-0.279022603	0.786190731	0.865331413	-7.151323234
50755	Fbh1	F-box DNA helicase 1	-0.168667092	5.795091246	-1.393064063	0.195251299	0.334857836	-6.353174082
52856	Mtg2	mitochondrial ribosome associated GTPase 2	0.244941666	2.453109141	0.930593555	0.375174565	0.525360871	-6.283568362
103841	Cuedc1	CUE domain containing 1	-0.491001482	6.08784134	-3.600441992	0.005237543	0.026654959	-2.848854952
12036	Bcat2	branched chain aminotransferase 2, mitochondrial	0.201663694	3.997829155	0.930157226	0.3769189	0.527087538	-6.612643851
723896	Mir324	microRNA 324	0.564890478	-0.872046003	1.13529972	0.284006331	0.435931445	-5.376296181
50753	Fbxo8	F-box protein 8	-0.003906672	3.746265158	-0.02393131	0.981401238	0.988524257	-7.022044679
67870	Enoph1	enolase-phosphatase 1	0.188069213	4.357008054	1.048217519	0.320709783	0.472078927	-6.561568942
74159	Acbd5	acyl-Coenzyme A binding domain containing 5	-0.160028971	5.976836023	-1.383404649	0.198098325	0.338441421	-6.377422981
11883	Arsa	arylsulfatase A	0.081781479	4.561072824	0.45516882	0.65938019	0.772344934	-7.054537781
668272	Gm9079	transmembrane emp24 domain trafficking protein 2 pseudogene	0.30487898	-0.500452301	0.718033965	0.489970522	0.629775096	-5.812023191
93761	Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	-0.20720013	4.085289802	-1.090155425	0.302767693	0.454198744	-6.470797436
75416	Nop14	NOP14 nucleolar protein	0.088833204	6.355463351	0.753420836	0.469408097	0.611128186	-7.047690665
170755	Sgk3	serum/glucocorticoid regulated kinase 3	0.654116668	3.002804694	3.348607622	0.007891995	0.034983157	-2.828342773
14688	Gnb1	guanine nucleotide binding protein (G protein), beta 1	-0.182065392	8.560369541	-1.44945592	0.179319114	0.315777547	-6.215657482
13714	Elk4	ELK4, member of ETS oncogene family	-0.101163678	5.722055752	-0.830005315	0.426846068	0.57180892	-6.952840114
94332	Cadm3	cell adhesion molecule 3	2.094454184	1.593808979	5.83438021	0.000213667	0.003203316	1.049917909
170938	Zfp617	zinc finger protein 617	-0.312918169	1.038938855	-1.043787457	0.322347233	0.473723411	-5.85271622
54217	Rpl36	ribosomal protein L36	0.019153131	8.188151183	0.127721097	0.901040572	0.940690454	-7.274500551
66451	2610528J11Rik	RIKEN cDNA 2610528J11 gene	-0.062777714	-0.717135669	-0.122585927	0.904982419	0.943000714	-6.026068103
231413	Grsf1	G-rich RNA sequence binding factor 1	0.014120029	5.881292825	0.119500905	0.907360949	0.944191822	-7.322718336
446101	Xrra1	X-ray radiation resistance associated 1	-1.1290422	-1.118664627	-2.082634738	0.065284504	0.15502653	-4.132945896
54218	B3galt4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	0.588566935	-0.11606396	1.381771605	0.198583124	0.339028888	-5.234539349
100504491	Dcdc2b	doublecortin domain containing 2b	-0.065267851	2.306848786	-0.28508155	0.781683074	0.862672565	-6.657837859
667728	H2af-ps2	H2A histone family, pseudogene 2	-0.513945889	2.29286281	-2.266802843	0.048073091	0.124804403	-4.468213263
18015	Nf1	neurofibromin 1	0.226063801	6.71114836	1.87712776	0.091418435	0.196726148	-5.702182131
78751	Zc3h6	zinc finger CCCH type containing 6	0.797934191	2.5093431	3.216997395	0.009802304	0.040537721	-2.946115008
20621	Snn	stannin	0.393199638	3.1184309	2.062083737	0.067537774	0.158861261	-4.969007931
238205	Lrfn5	leucine rich repeat and fibronectin type III domain containing 5	0.142319042	1.279364839	0.289355569	0.780216462	0.861712901	-6.416070367
233806	Tmem159	transmembrane protein 159	-0.098651009	4.320288793	-0.571108841	0.581162325	0.70738922	-6.951169882
52846	Cnot11	CCR4-NOT transcription complex, subunit 11	0.538928216	4.965200916	4.131250057	0.002262184	0.014977112	-1.870467746
14254	Flt1	FMS-like tyrosine kinase 1	1.434511255	4.331688059	4.806604073	0.00225471	0.014948196	-1.459016817
99326	Garnl3	GTPase activating RANGAP domain-like 3	0.509024289	3.602553549	3.052529119	0.012878017	0.049132545	-3.441029136
71919	Rpap3	RNA polymerase II associated protein 3	-0.129216441	3.284250797	-0.692670903	0.505050366	0.642574402	-6.672101676
217980	Larp4b	La ribonucleoprotein domain family, member 4B	-0.068934954	5.756931037	-0.571802078	0.580696373	0.707096997	-7.144684455
74843	Mss51	MSS51 mitochondrial translational activator	-0.349860585	0.78340242	-1.107343817	0.295321588	0.447184208	-5.730654604
234353	Psd3	pleckstrin and Sec7 domain containing 3	-0.077688147	4.654371653	-0.48524364	0.638468519	0.756010841	-7.054860086
12994	Csn3	casein kappa	-2.938169299	7.108805436	-14.62138493	5.07e-07	9.64e-05	7.072331128
22724	Zbtb7b	zinc finger and BTB domain containing 7B	0.210186127	3.708712995	0.964808916	0.359474394	0.510357459	-6.526297896
66595	Aste1	asteroid homolog 1	0.313405387	2.856930961	1.62358749	0.137044211	0.260944471	-5.559858446
107476	Acaca	acetyl-Coenzyme A carboxylase alpha	0.273459471	6.362143835	2.276337585	0.047313705	0.123530879	-5.075338527
53382	Txnl1	thioredoxin-like 1	-0.190961343	6.770918709	-1.536617915	0.15690852	0.287685552	-6.190561482
20420	Shd	src homology 2 domain-containing transforming protein D	-0.231970921	1.064181548	-0.645362734	0.533964027	0.667651633	-6.193701034
19347	Dennd5a	DENN/MADD domain containing 5A	0.152637103	7.369746958	1.310348116	0.220790442	0.364732568	-6.460714022
20310	Cxcl2	chemokine (C-X-C motif) ligand 2	-0.775418663	5.277461797	-3.202692452	0.015689624	0.056414635	-3.709934902
214084	Slc18a2	solute carrier family 18 (vesicular monoamine), member 2	0.844601998	1.742508847	3.265139723	0.009053435	0.038375396	-2.720653233
77559	Agl	amylo-1,6-glucosidase, 4-alpha-glucanotransferase	-0.777440708	5.056118009	-5.910144606	0.000180756	0.002895504	0.773818634
19943	Rpl28	ribosomal protein L28	0.155569674	8.546404858	1.003676801	0.340486342	0.492303198	-6.733277467
16494	Kcna6	potassium voltage-gated channel, shaker-related, subfamily, member 6	1.07816461	0.796275347	2.796161542	0.019792088	0.066386058	-3.313950526
93699	Pcdhgb1	protocadherin gamma subfamily B, 1	-0.314081336	2.34659734	-1.322339775	0.216922711	0.360364351	-5.837664029
110891	Slc8a2	solute carrier family 8 (sodium/calcium exchanger), member 2	-0.24418287	2.996277485	-1.24836399	0.241706747	0.389434414	-6.075106015
67880	Dcxr	dicarbonyl L-xylulose reductase	-0.539729544	2.760702043	-2.467431878	0.034350879	0.098644297	-4.245271782
56013	Srcin1	SRC kinase signaling inhibitor 1	-0.700151503	0.418587191	-1.875645298	0.091638551	0.196984175	-4.677519757
227120	Plcl1	phospholipase C-like 1	-0.547964953	5.308152255	-1.780009634	0.123665201	0.243733422	-5.795089293
68014	Zwilch	zwilch kinetochore protein	0.454429413	3.257302545	2.369104449	0.040511582	0.110802285	-4.508577723
546143	Ccpg1os	cell cycle progression 1, opposite strand	-0.138195493	1.703185856	-0.543597446	0.599207719	0.721839997	-6.403863732
14659	Glrp1	glutamine repeat protein 1	0.857795208	0.007900398	1.569589368	0.151681008	0.280920311	-5.020201486
12040	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide	-0.219106436	4.496503589	-1.387945489	0.196755583	0.336705398	-6.193815702
263803	Pkn3	protein kinase N3	1.162262007	3.081541812	5.802228667	0.00020804	0.003147415	0.901070651
15270	H2ax	H2A.X variant histone	1.336732088	4.51571626	6.974926661	6.03e-05	0.00150972	2.04893301
20641	Snrpd1	small nuclear ribonucleoprotein D1	0.010537397	5.528345367	0.083599132	0.935105698	0.960664855	-7.296752213
78777	Tepsin	TEPSIN, adaptor related protein complex 4 accessory protein	0.311141177	2.481714369	1.368773842	0.202477789	0.34356477	-5.810243201
80385	Tusc2	tumor suppressor 2, mitochondrial calcium regulator	0.638779729	4.834087737	4.19552979	0.00204865	0.014013345	-1.748340634
28185	Tomm70a	translocase of outer mitochondrial membrane 70A	-0.104303214	6.2214953	-0.834209563	0.424587281	0.570105891	-6.978205844
216233	Socs2	suppressor of cytokine signaling 2	0.443842052	5.774390142	2.982132098	0.014670395	0.053812306	-3.877031922
66686	Dcbld1	discoidin, CUB and LCCL domain containing 1	0.54234012	2.545391394	2.390554339	0.039080919	0.108222354	-4.321209988
72201	Otud6b	OTU domain containing 6B	-0.158444344	5.451141071	-1.23961219	0.244787064	0.392687751	-6.509112672
110751	Adam33	a disintegrin and metallopeptidase domain 33	2.051026872	-0.725953116	4.025798498	0.002665007	0.016693217	-1.283192389
30051	Spdef	SAM pointed domain containing ets transcription factor	-0.163045808	-0.076034924	-0.405086161	0.694360793	0.798736671	-6.075262474
105171	Arrdc3	arrestin domain containing 3	-0.200321855	5.451099443	-0.632314155	0.549722464	0.681367691	-7.068347129
110695	Aldh7a1	aldehyde dehydrogenase family 7, member A1	-0.069580126	6.32879514	-0.587966406	0.5702293	0.698179768	-7.164068053
56381	Spen	spen family transcription repressor	0.511600429	6.993151852	4.421882361	0.00145153	0.011166857	-1.512909189
213417	Klhdc8a	kelch domain containing 8A	-1.247340487	-0.622237291	-2.41372644	0.037591275	0.105268698	-3.705899375
69104	Marchf5	membrane associated ring-CH-type finger 5	-0.280172811	6.462835885	-2.437663509	0.03611128	0.102235014	-4.814247481
68904	Abhd13	abhydrolase domain containing 13	0.099727815	5.18670321	0.642689571	0.535672279	0.668802595	-7.036846839
225326	Pik3c3	phosphatidylinositol 3-kinase catalytic subunit type 3	0.422189692	3.58146167	1.809477567	0.104086239	0.215411053	-5.450370882
102747	Lrrc49	leucine rich repeat containing 49	0.807991864	3.945500584	5.029838225	0.000596555	0.006276946	-0.32917734
69125	Cnot8	CCR4-NOT transcription complex, subunit 8	-0.082963126	4.357131071	-0.531749913	0.607075562	0.728823955	-6.980668893
667214	9930111J21Rik1	RIKEN cDNA 9930111J21 gene 1	-0.060334099	-0.478726988	-0.12258732	0.904981345	0.943000714	-6.072239532
99011	Pomt1	protein-O-mannosyltransferase 1	0.167436512	3.902683704	1.09218922	0.301600744	0.453154647	-6.435007244
106073	Mfsd5	major facilitator superfamily domain containing 5	0.390623466	4.014945256	2.597703726	0.027596981	0.084440796	-4.277615241
100043600	Gm4544	predicted gene 4544	-0.377073535	-0.456680625	-0.848254349	0.417100605	0.56298635	-5.720714307
73139	Cenpv	centromere protein V	1.085772604	-0.111066922	2.291222919	0.046217774	0.121491882	-3.962459433
17868	Mybpc3	myosin binding protein C, cardiac	0.389948201	-0.884979982	0.839763636	0.421615767	0.567435692	-5.647896756
216198	Tcp11l2	t-complex 11 (mouse) like 2	0.213512176	6.827674036	1.836782508	0.097588071	0.206009745	-5.760552571
67939	Prorsd1	prolyl-tRNA synthetase domain containing 1	-0.330365602	3.141470255	-1.830108761	0.098645177	0.207482634	-5.328508798
14469	Gbp2	guanylate binding protein 2	-0.901650824	5.97829122	-6.342928067	0.000105648	0.002141605	1.270414907
171508	Creld1	cysteine-rich with EGF-like domains 1	0.61713482	2.462378495	2.847571	0.018138717	0.062362103	-3.552759538
224897	Dpp9	dipeptidylpeptidase 9	0.066795344	5.03399166	0.463527139	0.653395696	0.767481928	-7.121846133
17880	Myh11	myosin, heavy polypeptide 11, smooth muscle	-1.884068341	12.44980187	-10.35046124	1.71e-06	0.000179287	5.724223799
622404	Ccdc107	coiled-coil domain containing 107	-0.705008749	4.535353306	-5.114370395	0.000529406	0.005792963	-0.293160917
329679	Fnip2	folliculin interacting protein 2	-0.199755393	5.080651595	-1.415379991	0.188807071	0.327235804	-6.246266411
18383	Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	0.395120786	4.307309069	2.71168569	0.022785442	0.073664523	-4.137099576
106522	Pkdcc	protein kinase domain containing, cytoplasmic	0.607569244	2.928008326	3.083279241	0.012235556	0.047408264	-3.255835276
15357	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	0.210691257	6.297043647	1.686023617	0.124204001	0.244528215	-5.981000534
230577	Pars2	prolyl-tRNA synthetase (mitochondrial)(putative)	-0.258634451	-0.846555136	-0.495938121	0.631179151	0.749840208	-5.882968546
56210	Rev1	REV1, DNA directed polymerase	-0.363772571	4.657421648	-2.530088418	0.030918767	0.091407325	-4.49687772
84585	Rnf123	ring finger protein 123	-0.122619296	5.442508142	-0.979130874	0.351725563	0.503017742	-6.789066223
207798	Gramd1c	GRAM domain containing 1C	0.270197022	2.496491248	1.19147124	0.262306754	0.411821318	-6.024467709
20353	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	0.242268192	7.892369732	1.747781	0.112585788	0.228304411	-5.845044953
72461	Prcp	prolylcarboxypeptidase (angiotensinase C)	0.653010833	4.683022274	4.564533678	0.001172569	0.009650583	-1.144743016
106042	Prickle1	prickle planar cell polarity protein 1	1.647903871	3.67805357	7.857214423	1.9e-05	0.000734061	3.307931885
219022	Ttc5	tetratricopeptide repeat domain 5	0.264344776	3.919404779	1.560684127	0.151171039	0.280155573	-5.865036287
68721	1110032A03Rik	RIKEN cDNA 1110032A03 gene	0.082737633	2.715404335	0.39049605	0.7047591	0.806720993	-6.715420145
12818	Col14a1	collagen, type XIV, alpha 1	0.125605327	9.628564233	0.856290072	0.412858054	0.559246236	-6.797943613
69116	Ubr4	ubiquitin protein ligase E3 component n-recognin 4	-0.028634935	8.078763635	-0.231357142	0.821930651	0.889875109	-7.261051446
331046	Tgm4	transglutaminase 4 (prostate)	-0.230056333	1.715298046	-0.860823985	0.410477492	0.557487687	-6.177684921
23991	Cib1	calcium and integrin binding 1 (calmyrin)	-0.506361465	3.88287181	-3.156860846	0.010828301	0.04360627	-3.318640546
230257	Ptbp3	polypyrimidine tract binding protein 3	-0.036861254	7.460958908	-0.286122821	0.780909256	0.86214819	-7.280065004
26413	Mapk1	mitogen-activated protein kinase 1	-0.16213632	7.046160261	-1.299326646	0.224395792	0.369293553	-6.487624396
68421	Lmbrd1	LMBR1 domain containing 1	-0.247737264	5.802338248	-1.697258571	0.122197365	0.241665467	-5.941078361
26403	Map3k11	mitogen-activated protein kinase kinase kinase 11	0.784598936	5.859832758	5.407976581	0.000359544	0.004446698	-0.015912116
213522	Plekhg6	pleckstrin homology domain containing, family G (with RhoGef domain) member 6	-1.005957435	5.655853692	-7.383911814	3.07e-05	0.001003996	2.595797411
66296	Haus2	HAUS augmin-like complex, subunit 2	0.527389204	3.729434646	3.042969468	0.013084708	0.04962502	-3.479939391
