ENTREZID,SYMBOL,GENENAME,basalvirgin1,basalvirgin2,basalpregnant1,basalpregnant2,basallactate1,basallactate2
620986,Gm6195,predicted pseudogene 6195,1.098613005,1.415698107,1.109259015,1.366541238,1.463857765,1.27107921
73824,Snhg6,small nucleolar RNA host gene 6,3.617577947,3.793816143,3.968515039,3.902594139,3.132368057,2.818928538
266793,Snord87,"small nucleolar RNA, C/D box 87",-1.451584077,-1.200291289,-1.237543749,-0.741262051,-1.391193899,-2.635811386
100038398,NA,NA,1.167325756,-0.29758849,-0.206516853,0.233646968,-0.620675746,-0.233712942
26754,Cops5,COP9 signalosome subunit 5,5.303939394,5.31437989,5.436725293,5.41128506,5.422964418,5.233672299
211660,Cspp1,centrosome and spindle pole associated protein 1,4.545192022,4.52051059,4.185800569,4.163969321,4.604822587,4.664050768
211673,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),6.907433337,7.091730189,6.929110575,6.939673356,7.064133321,6.993805437
329093,Cpa6,carboxypeptidase A6,1.687479961,2.200959259,1.722710072,1.343271459,1.681214596,1.545518379
109294,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",3.757869289,4.388586262,2.423769638,2.605328098,2.624631068,2.892224047
240725,Sulf1,sulfatase 1,4.944816833,5.191279204,3.611759355,4.465499718,4.294482466,4.097930308
240726,Slco5a1,"solute carrier organic anion transporter family, member 5A1",0.422885041,-0.769656935,-0.206516853,-1.351315533,-1.086339318,-1.983734689
383491,Prdm14,PR domain containing 14,-1.756438659,-1.200291289,-1.006218203,-0.955386856,-0.269203375,-0.488969997
17978,Ncoa2,nuclear receptor coactivator 2,6.358528466,6.573349637,6.873932166,6.822558814,7.169925543,7.17636592
72265,Tram1,translocating chain-associating membrane protein 1,5.685040915,5.808989666,5.699862058,5.73447138,5.524861171,5.44176734
212442,Lactb2,"lactamase, beta 2",2.300756743,2.177013563,2.321043336,2.337394893,3.017198286,3.028508907
14048,Eya1,EYA transcriptional coactivator and phosphatase 1,3.287955461,3.877917543,3.927144604,3.918426342,4.479895975,4.831794164
17681,Msc,musculin,-2.384469881,-3.40192515,-2.953750783,-3.277314951,-3.156728646,-3.858203807
21749,Terf1,telomeric repeat binding factor 1,3.235583284,3.155730005,2.742720033,2.595513808,2.926484722,3.347996581
226866,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing",4.674751656,5.128676264,3.818210233,4.020976779,3.460922474,3.490524347
19989,Rpl7,ribosomal protein L7,8.920503627,9.312706752,9.043579937,9.002005437,8.76369865,8.635735013
98711,Rdh10,retinol dehydrogenase 10 (all-trans),6.337561381,6.13762143,6.060269687,5.692503235,5.841579705,5.996145154
29819,Stau2,staufen double-stranded RNA binding protein 2,3.783632385,3.988673755,4.298238756,4.26029174,4.301062614,4.058670877
66799,Ube2w,ubiquitin-conjugating enzyme E2W (putative),4.707806762,4.766997632,4.715640499,4.7461622,5.239876135,5.043668714
67923,Eloc,elongin C,6.763197594,6.788146424,6.646427627,6.51807538,6.56812623,6.508482678
70397,Tmem70,transmembrane protein 70,4.079425986,4.019298149,4.480877445,4.430044181,4.497191227,4.425656247
17087,Ly96,lymphocyte antigen 96,0.222187691,-0.29758849,1.00707862,0.667543494,1.235588777,0.534113616
57339,Jph1,junctophilin 1,2.796343436,2.620442663,2.983728133,2.920393207,2.6141004,2.331620752
14545,Gdap1,ganglioside-induced differentiation-associated-protein 1,-3.521973405,-3.40192515,-0.269252609,-0.389789681,-0.620675746,-1.050848885
94227,Pi15,peptidase inhibitor 15,2.092736439,3.149590867,2.652522224,3.496153977,2.33512445,1.814221535
83691,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,3.868625501,4.862048205,3.54039049,3.622344075,3.529771881,3.587500828
21419,Tfap2b,transcription factor AP-2 beta,5.900511911,5.865329722,5.832752234,6.20448448,6.567444104,6.92233596
241035,Pkhd1,polycystic kidney and hepatic disease 1,-5.8439015,-5.723853245,-5.761105705,-5.599243046,-5.478656741,-3.858203807
17215,Mcm3,minichromosome maintenance complex component 3,5.601630719,5.47643236,4.757547451,4.379467413,2.686250186,2.421019837
74229,Paqr8,progestin and adipoQ receptor family member VIII,2.427561528,2.638090529,1.904230212,1.80163639,1.797467665,1.696385045
71877,Efhc1,EF-hand domain (C-terminal) containing 1,1.62370405,1.55227116,0.505680836,1.366541238,1.759747999,1.832958098
170829,Tram2,translocating chain-associating membrane protein 2,2.340973843,2.050933814,1.272317297,1.658144796,2.05272472,2.056679579
75712,Tmem14a,transmembrane protein 14A,0.870344018,1.570767504,1.5150187,2.175544013,2.021189146,2.178885512
14859,Gsta3,"glutathione S-transferase, alpha 3",-2.673976498,-3.40192515,-2.953750783,-2.429318045,-1.391193899,-1.983734689
226922,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",5.233581857,5.397032598,5.022711054,5.288739087,6.220481885,6.686438703
70155,Ogfrl1,opioid growth factor receptor-like 1,3.697195115,3.653357285,4.513854767,4.031934009,4.170599437,4.20608987
280645,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",0.976277463,1.415698107,1.816323123,1.676881359,1.341522222,1.612116128
98366,Smap1,small ArfGAP 1,4.686504837,4.935250718,4.971061721,5.070527842,5.118464688,5.081375407
68002,Sdhaf4,succinate dehydrogenase complex assembly factor 4,1.792723121,1.4758191,1.816323123,2.472219316,2.005159037,2.505200924
68187,Fam135a,"family with sequence similarity 135, member A",5.033382634,4.991250764,4.555175827,4.505355707,5.229564989,5.380996902
12839,Col9a1,"collagen, type IX, alpha 1",3.095677714,4.778978559,6.067427505,5.913991068,3.147052102,3.06065943
68421,Lmbrd1,LMBR1 domain containing 1,5.421127443,5.47643236,5.516762841,5.897111442,6.073532019,6.119553119
665903,Gm7846,predicted gene 7846,2.603181726,2.872336511,2.635499076,2.575682636,2.446155763,2.164164006
213109,Phf3,PHD finger protein 3,6.606536533,6.566453651,6.132575033,6.166043052,6.645141351,6.656510247
19243,Ptp4a1,protein tyrosine phosphatase 4a1,6.440054988,6.626809743,6.253263537,6.129952813,6.26911666,6.000295304
19076,Prim2,"DNA primase, p58 subunit",3.889113822,3.877917543,3.646162059,3.506665462,2.993018474,3.020358065
19335,Rab23,"RAB23, member RAS oncogene family",3.475770621,3.360955143,3.178473509,3.334447609,3.941303437,4.026475509
213539,Bag2,BCL2-associated athanogene 2,4.808047111,5.34156289,6.369143079,6.305767816,5.839321082,5.574338093
98403,Zfp451,zinc finger protein 451,4.242234725,4.211311805,4.51152408,4.500104764,4.152520315,4.403891038
433287,Gm15455,predicted gene 15455,2.953760026,3.020980592,2.781926115,2.727186441,2.481345191,2.421019837
13518,Dst,dystonin,10.0794492,10.44765588,9.283160329,10.14735,11.30675741,10.99414688
69668,Ccdc115,coiled-coil domain containing 115,3.124765293,3.03436997,3.154773674,2.493514095,2.021189146,2.149290729
27993,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",4.768045442,4.705553496,4.546095104,4.284927473,3.850018187,4.026475509
52318,D1Ertd448e,"DNA segment, Chr 1, ERATO Doi 448, expressed",3.293089612,3.192026134,2.976986555,2.615076075,2.083585684,2.207885383
19253,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",0.725954108,1.017613741,1.25012155,0.970612562,-0.52446043,-0.585185313
226970,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,2.659924238,3.11219711,3.213308885,2.805898417,2.635085425,2.809499125
214469,Fam168b,"family with sequence similarity 168, member B",7.713681863,7.738521214,7.917824482,7.905451823,7.85519742,7.757885507
226971,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",4.088313252,4.39897475,3.877330209,3.898608791,3.818259466,3.62561197
50785,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,7.220672873,7.184351708,7.093567917,7.247226764,6.612448018,6.384573341
320011,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,6.674013893,6.490162246,6.355563151,6.446175351,6.451711007,6.55366022
214854,Neurl3,neuralized E3 ubiquitin protein ligase 3,2.832055533,3.478270579,1.227578982,0.283400003,0.99707669,0.284754147
214855,Arid5a,AT rich interactive domain 5A (MRF1-like),9.399012073,9.071323978,8.00718202,8.166768155,8.928411816,8.940470492
226976,Kansl3,KAT8 regulatory NSL complex subunit 3,6.343141214,6.439481947,6.343820599,6.381967442,6.478082404,6.384573341
214895,Lman2l,"lectin, mannose-binding 2-like",3.67769894,3.443564901,3.455640153,3.34620079,3.616740282,3.548355538
94220,Cnnm4,cyclin M4,5.783176341,5.685007191,5.202512912,4.848873259,4.88438289,4.827129019
94218,Cnnm3,cyclin M3,3.787275556,3.344925033,2.115411242,2.325569457,2.186679176,2.995625545
78321,Ankrd23,ankyrin repeat domain 23,2.161723049,1.997245944,1.770275756,2.121856142,2.309245819,2.4577005
109346,Ankrd39,ankyrin repeat domain 39,1.748555537,1.941482672,2.299590227,2.214538145,2.143395079,2.408582734
20353,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",7.934689026,7.625842651,7.592454678,7.511077127,6.839603603,6.799114643
381337,Fam178b,"family with sequence similarity 178, member B",-0.985920505,-2.023413527,-0.631822688,-0.554848927,-0.269203375,-0.688278806
12859,Cox5b,cytochrome c oxidase subunit Vb,4.49260506,4.464735601,4.860030408,5.009011776,4.417675663,4.416368479
226977,Actr1b,"ARP1 actin-related protein 1B, centractin beta",6.556711141,6.585338862,6.562793477,6.702538916,6.79251445,6.691580861
22637,Zap70,zeta-chain (TCR) associated protein kinase,-4.258938999,-0.438451026,-1.006218203,-1.206925623,-3.156728646,-2.273241306
56030,Tmem131,transmembrane protein 131,6.65619345,6.644380366,6.619084762,6.76735238,6.988184468,6.953170886
269180,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",4.606278747,4.437278638,4.532365944,4.473559488,5.283725298,5.242458532
76178,Coa5,cytochrome C oxidase assembly factor 5,4.815202464,4.802645994,4.960847908,5.050911167,5.167901969,5.142735142
67387,Unc50,unc-50 homolog (C. elegans),4.204585374,4.274737185,4.098429081,4.130377697,4.167001692,4.336553047
269181,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A",5.134093869,5.216460352,4.901562671,4.869380997,5.250114109,5.177969806
77633,4930594C11Rik,G1 to S phase transition pseudogene,1.9569984,2.347609117,2.669346847,2.094243911,2.05272472,1.736742782
72097,2010300C02Rik,RIKEN cDNA 2010300C02 gene,-0.352048404,-0.86587225,0.778053106,0.423124767,-0.434262621,-0.799310118
211484,Tsga10,testis specific 10,-0.062541786,0.465971314,0.428718854,0.590581513,0.896382691,0.999777188
623661,Lipt1,lipoyltransferase 1,-0.115981045,0.004067209,0.542675043,-0.044654195,1.150699879,0.439476742
69028,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",2.578163266,2.980050328,3.124590668,3.026465797,3.809055639,3.466726776
107734,Mrpl30,mitochondrial ribosomal protein L30,4.064491121,4.029363504,4.188721006,4.462803091,4.349479743,4.14367348
98258,Txndc9,thioredoxin domain containing 9,4.921798988,4.8374347,4.947116025,4.971561391,5.17329187,5.125739847
226982,Eif5b,eukaryotic translation initiation factor 5B,7.161898464,7.196685704,7.484298446,7.42191045,7.225463048,6.977057112
56210,Rev1,"REV1, DNA directed polymerase",4.174298679,4.327355696,4.676646367,4.566920036,4.23730525,4.216829585
16764,Aff3,"AF4/FMR2 family, member 3",3.661910054,3.631497851,3.585408028,3.522290471,3.376211643,3.380200932
98388,Chst10,carbohydrate sulfotransferase 10,-0.229191656,-1.475925732,0.838807137,0.283400003,0.543711072,1.351249559
68833,Pdcl3,phosducin-like 3,5.480841611,5.404785568,5.968939798,6.249771027,6.510382896,6.397218243
18143,Npas2,neuronal PAS domain protein 2,-0.229191656,-0.051427903,-0.90312471,0.283400003,-0.834800551,-0.799310118
114641,Rpl31,ribosomal protein L31,5.849149796,6.139171465,6.056277723,6.016846267,5.468980197,5.353684487
54610,Tbc1d8,"TBC1 domain family, member 8",4.070483632,4.154197668,3.498637559,3.357858995,3.466787096,3.729261201
52846,Cnot11,"CCR4-NOT transcription complex, subunit 11",5.045602464,4.931677478,4.473711726,4.451965895,4.184901364,4.447097969
100217461,Snord89,"small nucleolar RNA, C/D box 89",-0.417636745,-0.594570228,-0.90312471,-0.844355544,-2.671301819,-2.273241306
67702,Rnf149,ring finger protein 149,6.679415412,6.894302803,6.208640546,6.109409789,5.192884326,5.093080908
263764,Creg2,cellular repressor of E1A-stimulated genes 2,-0.115981045,-0.679459126,-0.475703486,-0.241691042,-5.478656741,-3.858203807
26921,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,7.717028353,7.774871328,7.846802496,7.903713037,8.10266155,8.102884083
16178,Il1r2,"interleukin 1 receptor, type II",-1.20004531,-1.079997055,0.648285231,1.900602841,2.309245819,2.040649469
16177,Il1r1,"interleukin 1 receptor, type I",3.77997999,4.12945631,3.768324849,4.078476595,3.579334982,3.554013173
107527,Il1rl2,interleukin 1 receptor-like 2,1.917649733,3.000660608,1.20467858,1.477572551,0.75016195,0.665358149
17082,Il1rl1,interleukin 1 receptor-like 1,-1.089013998,-0.169264393,1.785788755,0.073182296,-1.230729227,-1.983734689
16182,Il18r1,interleukin 18 receptor 1,1.687479961,0.962647282,0.578744298,0.233646968,-2.308731739,-1.983734689
16174,Il18rap,interleukin 18 receptor accessory protein,-2.143461782,-3.40192515,-1.854215109,-4.014280546,-3.156728646,-3.121238213
110895,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",-5.8439015,-2.916498323,-0.806909395,-0.554848927,0.136053103,-0.016901553
226999,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",-0.558499281,-1.331535822,-1.673642864,-2.791888124,-1.778217023,-1.74272659
211798,Mfsd9,major facilitator superfamily domain containing 9,0.30584562,-0.29758849,-0.551652339,-0.554848927,-1.778217023,-0.688278806
381339,Tmem182,transmembrane protein 182,-3.036546578,-1.816962649,-0.088680363,0.128677408,0.136053103,0.534113616
69527,Mrps9,mitochondrial ribosomal protein S9,4.143362512,3.950339023,4.012033502,4.170594797,4.054672992,3.811862262
73122,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1",4.564428241,4.316436476,4.422529676,4.287977569,4.819405827,4.963038698
98404,AI597479,expressed sequence AI597479,3.808943473,3.408003716,3.720693727,3.902594139,4.281231443,4.671877342
14200,Fhl2,four and a half LIM domains 2,4.983441204,5.337517948,6.055478003,6.132500244,5.760345017,5.704674586
666642,Gm8210,predicted pseudogene 8210,4.707806762,5.028527401,4.910435362,4.905575941,4.462390866,4.283051852
17974,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,5.793176157,5.933018481,6.23995057,6.327423583,6.298187492,6.341059553
100861934,NA,NA,-3.521973405,-3.40192515,-4.176143204,-1.898803328,-3.156728646,-3.121238213
78896,1500015O10Rik,RIKEN cDNA 1500015O10 gene,6.893557119,7.296258594,8.788618809,8.577787111,6.018696153,5.731135237
67883,Uxs1,UDP-glucuronate decarboxylase 1,2.659924238,2.490465876,2.151783631,1.818609469,1.532570515,1.832958098
100503192,Gm19587,ADP-ribosylation factor 1-like,4.067490488,4.254857214,4.268181522,4.396524105,4.264494653,4.245084001
22019,Tpp2,tripeptidyl peptidase II,6.41142219,6.844340409,6.977197706,6.76297477,6.479533443,6.129060205
75623,Tex30,testis expressed 30,4.521327349,4.319174038,4.174059345,3.782299905,3.590121537,3.417920598
72050,Kdelc1,KDEL (Lys-Asp-Glu-Leu) containing 1,5.620133652,5.478882798,5.56588547,5.615683142,5.295306628,5.251191579
246229,Bivm,"basic, immunoglobulin-like variable motif containing",2.643938534,2.064049314,2.233247732,2.239960742,2.65576958,2.953438473
22592,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",4.514749701,4.469672115,4.427483141,4.579421805,4.959095332,4.917680776
70676,Gulp1,"GULP, engulfment adaptor PTB domain containing 1",4.442656262,5.071374721,4.725729317,5.28416394,5.331111388,5.314223702
12825,Col3a1,"collagen, type III, alpha 1",5.554307762,6.125160829,6.88387715,7.082654181,6.546136644,6.299564169
12832,Col5a2,"collagen, type V, alpha 2",7.557378037,7.558800845,5.880494511,6.591507603,7.75511271,7.812894919
73674,Wdr75,WD repeat domain 75,5.094942958,5.025178137,5.080458643,4.8754769,4.411607536,4.346367337
433297,Gm5526,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle pseudogene",7.489114048,7.53544867,8.4529857,8.773417998,8.903359281,8.615248282
53945,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",1.539802793,1.791846593,-0.269252609,-0.645046736,0.013196356,0.665358149
227058,Dnah7b,"dynein, axonemal, heavy chain 7B",1.944001059,2.681288218,1.55177725,2.450605503,3.305978105,3.092109069
227059,Slc39a10,"solute carrier family 39 (zinc transporter), member 10",6.075334286,6.338530247,6.329999053,6.202869372,6.452450092,6.36700363
56363,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,0.631831931,0.542933296,-1.513178192,-0.469960029,-0.955094785,-0.799310118
20324,Cavin2,caveolae associated 2,7.143540173,7.397518381,6.522850783,6.869126441,7.726372814,7.899880574
109019,Nabp1,nucleic acid binding protein 1,6.776089163,6.607903467,6.280211211,6.585322406,7.599327233,7.417338749
100045066,Gm17767,"predicted gene, 17767",-5.8439015,-2.916498323,-2.953750783,-4.014280546,-2.671301819,-1.536275712
17912,Myo1b,myosin IB,5.803107139,6.174370226,6.29519331,6.106821221,6.349082908,6.344328192
20849,Stat4,signal transducer and activator of transcription 4,-3.036546578,-2.916498323,-0.475703486,0.331494291,0.193768601,0.111422544
20846,Stat1,signal transducer and activator of transcription 1,4.212736215,4.567317454,5.283971347,5.205694626,5.443927662,5.071547746
14660,Gls,glutaminase,8.594175584,8.58512564,8.541890136,8.439247322,8.408278202,8.214263801
17936,Nab1,Ngfi-A binding protein 1,6.083506113,6.304398183,6.708790444,6.605633721,7.062681917,6.90251614
227094,Nemp2,nuclear envelope integral membrane protein 2,2.068987836,2.050933814,1.770275756,1.519698026,1.815964008,2.408582734
98682,Mfsd6,major facilitator superfamily domain containing 6,5.321633641,5.329393881,5.001276334,5.138004297,6.133751052,6.134734529
16329,Inpp1,inositol polyphosphate-1-phosphatase,3.498173168,3.397680272,3.036555821,3.19841848,3.443184196,3.783245885
227095,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,3.613479379,3.674890447,4.348724949,4.505355707,4.695020396,4.538400974
67080,1700019D03Rik,RIKEN cDNA 1700019D03 gene,0.842599027,2.177013563,3.736746132,3.729431881,3.742930381,3.630975155
227099,Pms1,"PMS1 homolog 1, mismatch repair system component",1.89080812,2.164890004,1.831351332,1.477572551,1.554766261,1.654865775
227102,Ormdl1,ORM1-like 1 (S. cerevisiae),2.068987836,1.759962532,0.980361281,1.115002471,1.598158856,1.736742782
72085,Osgepl1,O-sialoglycoprotein endopeptidase-like 1,2.032615447,2.451072437,2.363015607,2.524878266,2.73566238,2.978898458
70396,Asnsd1,asparagine synthetase domain containing 1,3.017185406,3.041018346,2.78964108,2.814384883,2.469710491,2.751590547
627872,Dnah7a,"dynein, axonemal, heavy chain 7A",0.178466313,0.685537691,-0.806909395,0.073182296,1.121256101,1.186190312
98267,Stk17b,serine/threonine kinase 17b (apoptosis-inducing),4.901772824,4.771002339,5.465908489,5.102063416,4.533967798,4.42873893
329152,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",1.655944387,1.55227116,2.84252064,2.709095984,3.507185196,3.430277805
98488,Gtf3c3,"general transcription factor IIIC, polypeptide 3",3.272442461,2.980050328,2.857279797,2.920393207,3.357393614,3.749126507
241062,Pgap1,post-GPI attachment to proteins 1,3.017185406,3.197987692,3.136739751,3.310650038,3.363693603,3.411702075
329154,Ankrd44,ankyrin repeat domain 44,5.479716263,5.71233775,4.15924715,4.502732625,4.837624791,4.742947932
81898,Sf3b1,"splicing factor 3b, subunit 1",9.337056583,9.368532275,9.243860851,9.156844116,8.873869526,8.949888912
67876,Coq10b,coenzyme Q10B,7.664264666,7.736730635,7.588866569,7.583306494,7.453373417,7.25878987
15510,Hspd1,heat shock protein 1 (chaperonin),7.554441388,7.626395354,7.562934166,7.172452744,6.519581081,6.345144196
15528,Hspe1,heat shock protein 1 (chaperonin 10),5.309017076,5.31437989,5.168892358,4.877503158,4.141563085,3.951296387
19070,Mob4,"MOB family member 4, phocein",5.395100258,5.358961093,5.514436851,5.571307989,5.949179863,5.797028746
74013,Rftn2,raftlin family member 2,3.095677714,3.344925033,1.55177725,2.188659513,1.905047552,3.107580478
212679,Mars2,methionine-tRNA synthetase 2 (mitochondrial),3.03568175,3.124769695,3.465306488,3.158980168,2.492886813,2.357733592
227120,Plcl1,phospholipase C-like 1,4.291807786,5.306124101,5.376525893,5.311399684,5.36133433,5.541964066
626009,Gm6644,Akr1b3 pseudogene,3.03568175,2.470903609,2.491559727,2.148949803,2.021189146,1.88775057
212712,Satb2,special AT-rich sequence binding protein 2,-0.352048404,-0.29758849,-1.673642864,-1.511780205,-3.156728646,-1.195238794
73467,1700066M21Rik,RIKEN cDNA 1700066M21 gene,1.189521502,0.846002363,1.801136719,1.540308306,1.315759126,1.522617977
68736,Tyw5,tRNA-yW synthesizing protein 5,2.729745688,2.723229981,3.036555821,3.026465797,3.183121357,3.115254405
68115,Maip1,matrix AAA peptidase interacting protein 1,3.186765636,3.42335168,3.470115476,3.420347682,2.926484722,2.978898458
67198,Spats2l,"spermatogenesis associated, serine-rich 2-like",5.430476653,5.195754994,5.143528917,5.57005565,6.287458017,6.077943336
51960,Kctd18,potassium channel tetramerisation domain containing 18,2.544115785,2.593559369,2.774169672,2.872432168,3.017198286,3.21861179
68549,Sgo2a,shugoshin 2A,2.007847542,1.955626854,1.690105407,1.19517282,0.075932111,-0.585185313
11761,Aox1,aldehyde oxidase 1,4.226219445,4.713898827,3.375885407,4.167285862,3.742930381,3.876505813
71724,Aox3,aldehyde oxidase 3,-3.036546578,-3.40192515,-3.43917761,-2.139811428,-2.671301819,-2.635811386
71872,Aox4,aldehyde oxidase 4,-3.521973405,-5.723853245,-2.591180704,-3.277314951,-3.156728646,-5.443166308
213043,Aox2,aldehyde oxidase 2,-5.8439015,-5.723853245,-2.591180704,-2.791888124,-5.478656741,-5.443166308
66882,Bzw1,basic leucine zipper and W2 domains 1,7.991458122,8.175786902,8.093860049,7.941732533,7.711630938,7.454490103
12747,Clk1,CDC-like kinase 1,8.195960007,8.001832535,7.261782217,7.285499857,7.756908782,8.250211747
70225,Ppil3,peptidylprolyl isomerase (cyclophilin)-like 3,3.071977879,2.894532257,3.154773674,3.145590791,3.400926509,3.274510115
65102,Nif3l1,Ngg1 interacting factor 3-like 1 (S. pombe),3.175689228,2.973114281,2.685977521,2.349124185,2.764517243,2.790453369
18393,Orc2,"origin recognition complex, subunit 2",4.589683941,4.308192482,3.958283116,3.764891609,4.141563085,4.070561288
213056,Fam126b,"family with sequence similarity 126, member B",2.759724845,2.655525122,2.797315008,2.681527724,3.025168997,3.099865512
66495,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3,4.055455423,4.113774688,4.606309046,4.701109514,4.349479743,4.453166096
100504501,Gm20257,caspase 8 pseudogene,0.495948503,0.783941395,1.157757532,1.319620191,1.487127544,0.999777188
12633,Cflar,CASP8 and FADD-like apoptosis regulator,5.909733119,6.241570321,6.556589541,6.676590464,6.873662614,6.600886224
12370,Casp8,caspase 8,4.199125784,4.321906416,3.54039049,3.782299905,3.579334982,3.739228046
70827,Trak2,"trafficking protein, kinesin binding 2",7.09952906,7.156304212,7.114451684,7.043936722,7.196638758,7.024184507
227154,Stradb,STE20-related kinase adaptor beta,2.269840666,2.089927946,2.277813284,2.239960742,3.147052102,3.145548328
381259,Tmem237,transmembrane protein 237,4.129078286,4.022661076,3.855443139,3.91448455,3.708695332,3.739228046
227157,Mpp4,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)",-0.985920505,-0.232000149,-1.368788282,-0.313840827,-0.955094785,-0.585185313
74018,Als2,alsin Rho guanine nucleotide exchange factor,5.454733907,5.818695017,5.936296303,5.970137913,6.150244411,5.702129027
271697,Cdk15,cyclin-dependent kinase 15,-0.558499281,0.158789804,1.157757532,2.148949803,1.341522222,0.579201505
14369,Fzd7,frizzled class receptor 7,8.388594378,7.675024024,8.178198019,8.447113634,7.967263386,8.311825552
381260,Gm973,predicted gene 973,-5.8439015,-2.023413527,-2.301674086,-2.791888124,-1.571766145,-1.536275712
22218,Sumo1,small ubiquitin-like modifier 1,5.977473892,6.074213475,5.990856708,5.91891831,6.011692765,5.831211845
55989,Nop58,NOP58 ribonucleoprotein,9.015584756,9.347567217,9.375685197,9.334678082,9.083287477,8.784675227
12168,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",5.724529693,6.082293558,6.186896426,6.271506957,5.776962009,5.604639246
100504533,NA,NA,2.127642054,2.212784694,2.433651149,2.472219316,2.446155763,2.056679579
72750,Fam117b,"family with sequence similarity 117, member B",6.000411961,5.922255396,6.006664944,5.659911723,5.272050246,5.10661836
70375,Ica1l,islet cell autoantigen 1-like,0.459879248,0.004067209,-0.4035537,-0.741262051,-0.434262621,-0.398772188
57750,Wdr12,WD repeat domain 12,3.318489829,3.295737483,3.470115476,3.011781751,2.457981198,2.344736252
241066,Carf,calcium response factor,1.144783187,1.727357867,1.690105407,1.658144796,2.296130319,2.291543312
